File	Size	md5sum	Download_link
Sample1_Analysis_Result.zip	1.5G	d094a43c298446fad471a7a53d837a49	-
Sample1_CpG.zip	495	0b89c02964b37e78a458c867950dfabe	-
Sample1_rawdata1.tar	1.6G	10420ca0d1bf002bf6e6e4320aa51633	-
Sample1_SV.zip	1.5G	f6394917238df438e8b765baebf4697c	-
Sample2_Analysis_Result.zip	1.4G	e85c1f1da54eb97c85471998a18b4162	-
Sample2_CpG.zip	497	c2473a2325dfb56a1c41ce593b16403d	-
Sample2_rawdata1.tar	1.5G	54f27e98b86d9ec59c504171044087c4	-
Sample2_SV.zip	1.4G	5e94b8997b7a4b26071dae96f8b9b921	-
